Current Loan Amount,Term,Credit Scores,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Annual Debt,Debt to Income Ratio,Debt to Income Ratio G/B,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Utilization Rate Good/Bad,Utilization Rate,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status
7872,Short Term,703,2,Rent,32472,Debt Consolidation,606.14,7273.68,0.22,Bad DTI,12.5,11,0,Very Bad UR,0.92,7839,8558,0,0,
7873,Short Term,,4,Home Mortgage,,Home Improvements,515.84,6190.08,,Very Bad DTI,22.1,5,0,Excellent UR,0.1,728,7356,0,0,
7874,Short Term,,2,Home Mortgage,,Debt Consolidation,2532.67,30392.04,,Very Bad DTI,22.2,19,0,Excellent UR,0.28,25654,91622,0,0,
7874,Short Term,731,1,Rent,31498,Debt Consolidation,349.1,4189.2,0.13,Good DTI,7,12,0,Bad UR,0.6,11524,19080,0,0,
7875,Short Term,706,8,Home Mortgage,78752,Home Improvements,375.38,4504.56,0.06,Excellent DTI,22,4,0,Bad UR,0.65,129,197,0,0,
7875,Short Term,669,8,Rent,157504,Take a Trip,606.39,7276.68,0.05,Excellent DTI,34.8,11,1,Very Bad UR,0.88,20019,22826,1,0,
7876,Short Term,732,10,Home Mortgage,78760,Debt Consolidation,1627.7,19532.4,0.25,Bad DTI,17.2,10,1,Very Bad UR,0.98,12428,12695,1,0,
7876,Short Term,724,6,Home Mortgage,57101,Debt Consolidation,1232.43,14789.16,0.26,Bad DTI,16.8,15,0,Very Bad UR,0.87,22226,25694,0,0,
7876,Short Term,728,9,Rent,98450,Debt Consolidation,1870.55,22446.6,0.23,Bad DTI,18.2,13,0,Bad UR,0.54,2846,5271,0,0,
7876,Short Term,738,10,Rent,73838,Debt Consolidation,412.26,4947.12,0.07,Excellent DTI,27.3,12,1,Good UR,0.39,8139,20868,1,0,
7877,Short Term,715,9,Home Mortgage,64312,Debt Consolidation,986.12,11833.44,0.18,Good DTI,17.6,7,0,Very Bad UR,0.96,13191,13783,0,0,
7878,Short Term,744,2,Home Mortgage,50225,Debt Consolidation,339.85,4078.2,0.08,Excellent DTI,13.2,5,0,Good UR,0.49,17239,35472,0,0,
7878,Short Term,731,9,Home Mortgage,51210,Debt Consolidation,870.56,10446.72,0.2,Good DTI,13.7,12,0,Very Bad UR,0.74,19472,26278,0,0,
7878,Short Term,739,3,Rent,49235,other,360.23,4322.76,0.09,Excellent DTI,19.4,2,0,,,0,0,,0,
7878,Short Term,745,10,Home Mortgage,84693,Debt Consolidation,1898.53,22782.36,0.27,Bad DTI,27.5,9,0,Very Bad UR,0.79,20146,25599,0,0,
7878,Short Term,734,1,Rent,51210,Debt Consolidation,387.91,4654.92,0.09,Excellent DTI,17.7,7,0,Bad UR,0.58,14986,25793,0,0,
7878,Short Term,724,6,Home Mortgage,103394,Debt Consolidation,1645.68,19748.16,0.19,Good DTI,25.8,9,0,Bad UR,0.59,15245,26016,0,0,
7878,Short Term,736,2,Rent,44316,Debt Consolidation,723.83,8685.96,0.2,Good DTI,13,14,0,Very Bad UR,0.85,7580,8960,0,0,
7878,Short Term,713,4,Home Mortgage,64825,Other,1112.83,13353.96,0.21,Good DTI,27.8,9,0,Good UR,0.46,4046,8853,0,0,
7878,Short Term,732,3,Own Home,43331,Debt Consolidation,870.24,10442.88,0.24,Bad DTI,9.7,14,0,Excellent UR,0.28,6674,23836,0,0,
7879,Short Term,,10,Rent,,Debt Consolidation,1037.02,12444.24,,Very Bad DTI,17.4,10,0,Very Bad UR,0.73,25258,34791,0,0,
7880,Short Term,707,10,Home Mortgage,75648,Debt Consolidation,685.24,8222.88,0.11,Excellent DTI,22.5,7,0,Very Bad UR,0.85,22752,26893,0,0,
7881,Short Term,723,5,Home Mortgage,54181,Debt Consolidation,813.61,9763.32,0.18,Good DTI,19,8,1,Very Bad UR,0.91,11963,13103,1,0,
7881,Short Term,,5,Home Mortgage,,Home Improvements,114.32,1371.84,,Very Bad DTI,34.8,11,0,,,0,0,0,0,
7882,Short Term,710,1,Rent,88668,Business Loan,327.33,3927.96,0.04,Excellent DTI,13.1,9,2,Excellent UR,0.01,94,11699,0,0,
7882,Short Term,,2,Home Mortgage,,Debt Consolidation,1665.16,19981.92,,Very Bad DTI,11.7,21,0,Good UR,0.42,7207,17039,0,0,
7882,Short Term,741,3,Rent,29559,Debt Consolidation,421.71,5060.52,0.17,Good DTI,11,13,0,Bad UR,0.62,6924,11239,0,0,
7883,Short Term,747,,Home Mortgage,39416,Debt Consolidation,492.7,5912.4,0.15,Good DTI,23.9,6,0,Bad UR,0.51,8274,16067,0,0,
7883,Short Term,751,7,Home Mortgage,53325,Debt Consolidation,207.08,2484.96,0.05,Excellent DTI,14.9,7,0,Good UR,0.47,1625,3450,0,0,
7884,Short Term,743,7,Rent,47099,Debt Consolidation,400.34,4804.08,0.1,Excellent DTI,11.4,6,1,Very Bad UR,0.74,2350,3175,0,0,
7885,Short Term,736,,Rent,24392,Debt Consolidation,300.83,3609.96,0.15,Good DTI,28.9,13,0,Excellent UR,0.22,9943,46031,0,0,
7886,Short Term,,6,Rent,,Debt Consolidation,558.88,6706.56,,Very Bad DTI,14.9,8,0,Very Bad UR,0.9,7460,8279,0,0,
7886,Short Term,730,1,Rent,12814,Educatiol Expenses,0,0,0,,11,5,0,,,0,0,0,0,
7886,Short Term,708,5,Rent,42389,Debt Consolidation,989.08,11868.96,0.28,Bad DTI,17.9,10,0,Bad UR,0.52,5220,9962,0,0,
7886,Short Term,,2,Home Mortgage,,Debt Consolidation,591.31,7095.72,,Very Bad DTI,12,3,0,Very Bad UR,0.87,4287,4928,0,0,
7886,Short Term,705,10,Home Mortgage,207018,Debt Consolidation,1200.7,14408.4,0.07,Excellent DTI,20.4,6,0,Very Bad UR,0.97,15238,15774,0,0,
7886,Short Term,,4,Rent,,Debt Consolidation,1119.05,13428.6,,Very Bad DTI,10,15,0,Very Bad UR,0.75,8065,10738,0,0,
7886,Short Term,735,10,Home Mortgage,53857,Debt Consolidation,1512.48,18149.76,0.34,Very Bad DTI,22.7,16,0,Very Bad UR,0.81,24646,30278,0,0,
7887,Short Term,722,4,Rent,67041,other,183.25,2199,0.03,Excellent DTI,10.1,7,0,Good UR,0.4,4839,12219,0,0,
7887,Short Term,684,10,Rent,64084,Debt Consolidation,795.7,9548.4,0.15,Good DTI,17.9,13,0,Very Bad UR,0.92,12552,13600,0,0,
7888,Short Term,744,1,Home Mortgage,35496,Debt Consolidation,520.61,6247.32,0.18,Good DTI,11.5,9,0,Bad UR,0.53,16039,29980,0,0,
7889,Short Term,687,5,Own Home,94666,Buy a Car,769.95,9239.4,0.1,Excellent DTI,15.9,13,0,Excellent UR,0.22,3730,16880,0,0,
7892,Short Term,713,5,Rent,73988,Debt Consolidation,1307.11,15685.32,0.21,Bad DTI,11.3,11,0,Very Bad UR,0.87,12355,14267,0,0,
7893,Short Term,,10,Rent,,Buy a Car,1252.35,15028.2,,Very Bad DTI,15.4,13,0,Bad UR,0.62,28252,45641,0,0,
7893,Short Term,748,3,Rent,15292,other,39.5,474,0.03,Excellent DTI,22.1,4,0,Excellent UR,0.04,223,5574,0,0,
7893,Short Term,747,7,Home Mortgage,98660,Debt Consolidation,679.11,8149.32,0.08,Excellent DTI,17.1,31,1,Excellent UR,0.22,7962,36860,1,0,
7893,Short Term,,3,Rent,,Debt Consolidation,779.91,9358.92,,Very Bad DTI,13.8,11,1,Bad UR,0.51,8379,16430,1,0,
7894,Short Term,739,1,Rent,33548,Debt Consolidation,732.46,8789.52,0.26,Bad DTI,13.2,7,1,Bad UR,0.56,7134,12739,1,0,
7894,Short Term,732,8,Home Mortgage,42508,Debt Consolidation,474.67,5696.04,0.13,Good DTI,14,6,1,Bad UR,0.51,5836,11443,1,0,
7895,Short Term,749,1,Own Home,24673,Debt Consolidation,581.86,6982.32,0.28,Bad DTI,12,11,0,Excellent UR,0.25,4434,17389,0,0,
7895,Short Term,717,,Home Mortgage,50332,Home Improvements,1010.83,12129.96,0.24,Bad DTI,15.8,13,0,Good UR,0.39,66550,171962,0,0,
7896,Short Term,729,5,Home Mortgage,39480,Debt Consolidation,503.37,6040.44,0.15,Good DTI,17,12,0,Excellent UR,0.07,560,8110,0,0,
7896,Short Term,736,,Rent,71064,Debt Consolidation,1089.65,13075.8,0.18,Good DTI,12.4,7,0,Bad UR,0.55,9329,16870,0,0,
7896,Short Term,,2,Home Mortgage,,Debt Consolidation,192.54,2310.48,,Very Bad DTI,10.4,7,0,Bad UR,0.53,5512,10362,0,0,
7897,Short Term,725,10,Home Mortgage,69856,Educatiol Expenses,669.45,8033.4,0.11,Good DTI,13,12,1,Very Bad UR,0.88,36528,41605,0,0,
7897,Short Term,,10,Rent,,Debt Consolidation,428.54,5142.48,,Very Bad DTI,12.6,4,0,Very Bad UR,0.9,6237,6908,0,0,
7898,Short Term,732,10,Home Mortgage,64175,other,994.7,11936.4,0.19,Good DTI,25.2,8,0,Bad UR,0.68,19459,28532,0,0,
7898,Short Term,,3,Own Home,,Debt Consolidation,416.06,4992.72,,Very Bad DTI,17,11,0,Very Bad UR,0.85,11635,13672,0,0,
7899,Short Term,700,8,Home Mortgage,25367,Debt Consolidation,568.65,6823.8,0.27,Bad DTI,25.6,13,0,Very Bad UR,0.89,11318,12646,0,0,
7901,Short Term,745,2,Rent,61231,Debt Consolidation,136.24,1634.88,0.03,Excellent DTI,15.2,13,1,Excellent UR,0.31,6530,21340,1,0,
7901,Short Term,730,10,Rent,59256,Debt Consolidation,1259.19,15110.28,0.26,Bad DTI,13,13,0,Bad UR,0.62,8388,13442,0,0,
7902,Short Term,699,10,Home Mortgage,62231,Other,886.8,10641.6,0.17,Good DTI,26.6,10,0,Good UR,0.32,4462,14031,0,0,
7902,Short Term,,10,Home Mortgage,,Other,473.11,5677.32,,Very Bad DTI,44.5,35,0,Excellent UR,0.14,17034,124335,,0,
7902,Short Term,,7,Home Mortgage,,Home Improvements,1016.9,12202.8,,Very Bad DTI,31.2,9,1,Very Bad UR,0.75,23855,31597,1,0,
7902,Short Term,732,10,Home Mortgage,68514,Debt Consolidation,1187.57,14250.84,0.21,Good DTI,17,5,0,Very Bad UR,0.99,16093,16305,0,0,
7903,Short Term,,10,Home Mortgage,,Other,738.51,8862.12,,Very Bad DTI,8.1,6,0,Bad UR,0.57,4949,8667,0,0,
7903,Short Term,,8,Rent,,Debt Consolidation,1353.67,16244.04,,Very Bad DTI,17.5,10,0,Very Bad UR,0.91,27723,30332,0,0,
7903,Short Term,716,4,Rent,36552,Other,548.28,6579.36,0.18,Good DTI,13.8,27,0,Excellent UR,0.28,5430,19189,0,0,
7903,Short Term,661,,Home Mortgage,23963,Home Improvements,249.61,2995.32,0.12,Good DTI,12.6,5,0,Bad UR,0.6,7043,11719,0,0,
7904,Short Term,721,10,Home Mortgage,34580,Debt Consolidation,956.71,11480.52,0.33,Very Bad DTI,17.5,12,0,Very Bad UR,0.85,8411,9884,0,0,
7905,Short Term,703,2,Rent,20074,Debt Consolidation,224.32,2691.84,0.13,Good DTI,10.8,4,0,Very Bad UR,0.87,8132,9294,0,0,
7906,Short Term,,1,Home Mortgage,,Debt Consolidation,668.3,8019.6,,Very Bad DTI,18.4,7,0,Excellent UR,0.18,4523,24849,0,0,
7906,Short Term,694,10,Home Mortgage,73134,Debt Consolidation,163.94,1967.28,0.03,Excellent DTI,13,6,0,Bad UR,0.55,3650,6624,0,0,
7907,Short Term,750,10,Home Mortgage,98840,Debt Consolidation,2133.29,25599.48,0.26,Bad DTI,27.8,24,0,Excellent UR,0.24,16389,67167,0,0,
7907,Short Term,729,,Rent,74130,Debt Consolidation,1254.03,15048.36,0.2,Good DTI,10.6,10,1,Bad UR,0.66,6811,10273,1,0,
7907,Short Term,703,10,Home Mortgage,50205,Debt Consolidation,874.4,10492.8,0.21,Good DTI,19.9,20,1,Excellent UR,0.23,2844,12639,1,0,
7907,Short Term,737,4,Rent,48432,Debt Consolidation,1214.82,14577.84,0.3,Very Bad DTI,15.2,21,0,Good UR,0.39,11416,29575,0,0,
7908,Short Term,741,5,Rent,49425,Debt Consolidation,939.08,11268.96,0.23,Bad DTI,10.6,15,0,Very Bad UR,0.77,8012,10378,0,0,
7908,Long Term,734,2,Rent,41124,Buy a Car,723.78,8685.36,0.21,Bad DTI,19,9,0,Excellent UR,0.19,1054,5464,0,0,
7909,Short Term,,3,Rent,,Debt Consolidation,562.84,6754.08,,Very Bad DTI,14.5,18,1,Bad UR,0.61,14668,23928,1,0,
7909,Short Term,745,8,Rent,49430,Debt Consolidation,815.6,9787.2,0.2,Good DTI,11,11,0,Good UR,0.45,4480,9979,0,0,
7910,Short Term,,1,Rent,,Debt Consolidation,276.02,3312.24,,Very Bad DTI,9.1,12,0,Excellent UR,0.26,6454,25212,0,0,
7910,Short Term,734,6,Rent,23735,Debt Consolidation,219.55,2634.6,0.11,Good DTI,18.5,8,0,Bad UR,0.51,5671,11163,0,0,
7910,Short Term,,10,Rent,,Debt Consolidation,396.76,4761.12,,Very Bad DTI,14.3,6,0,Very Bad UR,0.88,7208,8210,0,0,
7910,Short Term,718,4,Home Mortgage,41525,Debt Consolidation,1311.51,15738.12,0.38,Very Bad DTI,13.5,14,0,Bad UR,0.58,19980,34330,0,0,
7912,Short Term,735,2,Home Mortgage,64285,Debt Consolidation,1049.99,12599.88,0.2,Good DTI,12.2,14,0,Bad UR,0.53,18827,35589,0,0,
7913,Short Term,,10,Home Mortgage,,Home Improvements,444.91,5338.92,,Very Bad DTI,13.3,9,3,Good UR,0.47,7100,15138,3,0,
7913,Short Term,,7,Rent,,Debt Consolidation,454.17,5450.04,,Very Bad DTI,9.7,6,0,Very Bad UR,0.78,3879,4948,0,0,
7913,Short Term,737,1,Rent,79128,other,1556.18,18674.16,0.24,Bad DTI,15.9,19,0,Good UR,0.37,19481,52228,0,0,
7914,Short Term,746,3,Rent,154315,Buy a Car,1255.1,15061.2,0.1,Excellent DTI,20.9,7,0,Bad UR,0.66,11139,16903,0,0,
7914,Long Term,,10,Home Mortgage,,Debt Consolidation,732.01,8784.12,,Very Bad DTI,21.6,10,0,Excellent UR,0.29,15767,55322,0,0,
7914,Long Term,,4,Rent,,Debt Consolidation,556.18,6674.16,,Very Bad DTI,8.9,5,0,Very Bad UR,0.83,6435,7716,0,0,
7914,Short Term,749,5,Home Mortgage,87058,major_purchase,613.04,7356.48,0.08,Excellent DTI,14.1,10,0,Excellent UR,0.24,9326,38066,0,0,
7914,Short Term,717,3,Rent,58290,Debt Consolidation,1073.51,12882.12,0.22,Bad DTI,19,16,0,Bad UR,0.53,7001,13209,0,0,
7915,Short Term,,10,Home Mortgage,,Debt Consolidation,937.87,11254.44,,Very Bad DTI,16,8,0,Bad UR,0.64,19521,30359,0,0,
7916,Short Term,713,4,Rent,29685,Debt Consolidation,613.49,7361.88,0.25,Bad DTI,9.4,9,0,Very Bad UR,0.82,4539,5542,0,0,
7916,Short Term,,4,Rent,,Debt Consolidation,613.49,7361.88,,Very Bad DTI,9.4,9,0,Very Bad UR,0.82,4539,5542,0,0,
7917,Short Term,722,10,Rent,49536,Debt Consolidation,1114.55,13374.6,0.27,Bad DTI,23.3,13,1,Good UR,0.45,6507,14492,1,0,
7918,Short Term,738,3,Rent,49490,Debt Consolidation,549.34,6592.08,0.13,Good DTI,10.9,8,0,Very Bad UR,0.72,7613,10588,0,0,
7918,Short Term,724,10,Home Mortgage,49485,Debt Consolidation,808.26,9699.12,0.2,Good DTI,18.9,12,0,Bad UR,0.59,14388,24429,0,0,
7918,Long Term,624,10,Home Mortgage,69279,Home Improvements,479.76,5757.12,0.08,Excellent DTI,21.5,6,1,Very Bad UR,0.98,4951,5047,1,0,
7918,Short Term,743,3,Rent,33254,Debt Consolidation,50.44,605.28,0.02,Excellent DTI,11.1,5,0,Good UR,0.4,2163,5382,0,0,
7920,Short Term,748,2,Rent,39600,Debt Consolidation,312.18,3746.16,0.09,Excellent DTI,17.6,5,0,Excellent UR,0.12,1419,11725,0,0,
7921,Short Term,681,2,Rent,67327,Debt Consolidation,302.97,3635.64,0.05,Excellent DTI,7.1,4,0,Very Bad UR,0.71,4650,6531,0,0,
7921,Short Term,738,4,Rent,59406,Debt Consolidation,1054.46,12653.52,0.21,Bad DTI,8,12,0,Bad UR,0.64,9656,15159,0,0,
7921,Short Term,,1,Home Mortgage,,Debt Consolidation,424.04,5088.48,,Very Bad DTI,15.5,5,0,Bad UR,0.58,3378,5823,0,0,
7921,Short Term,725,10,Rent,37624,Debt Consolidation,1078.55,12942.6,0.34,Very Bad DTI,14,11,0,Very Bad UR,0.93,6914,7427,0,0,
7921,Short Term,701,7,Home Mortgage,43861,Debt Consolidation,972.26,11667.12,0.27,Bad DTI,16.4,18,0,Good UR,0.5,17061,34259,0,0,
7922,Short Term,747,5,Home Mortgage,41593,Home Improvements,433.26,5199.12,0.12,Good DTI,14,8,0,Good UR,0.4,6768,16835,0,0,
7922,Short Term,743,10,Home Mortgage,89118,Debt Consolidation,2554.72,30656.64,0.34,Very Bad DTI,23.8,32,0,Bad UR,0.59,35312,60156,0,0,
7922,Short Term,717,10,Own Home,77236,other,778.79,9345.48,0.12,Good DTI,26.8,4,0,Good UR,0.49,8118,16432,0,0,
7922,Short Term,681,5,Rent,118824,Debt Consolidation,869.4,10432.8,0.09,Excellent DTI,17.3,8,0,Very Bad UR,0.98,1255,1275,0,0,
7923,Short Term,,10,Home Mortgage,,Medical Bills,1077.26,12927.12,,Very Bad DTI,13.8,14,0,Very Bad UR,0.95,22491,23800,0,0,
7924,Short Term,726,1,Home Mortgage,212958,Debt Consolidation,3354.08,40248.96,0.19,Good DTI,15.8,12,0,Very Bad UR,0.87,32837,37831,0,0,
7924,Short Term,,6,Rent,,Debt Consolidation,676.02,8112.24,,Very Bad DTI,9.8,15,0,Bad UR,0.64,15610,24277,0,0,
7925,Short Term,707,3,Home Mortgage,42596,Debt Consolidation,429.5,5154,0.12,Good DTI,8.8,8,0,Very Bad UR,0.73,9893,13478,0,0,
7925,Short Term,702,,Rent,15882,Debt Consolidation,275.28,3303.36,0.21,Good DTI,9.4,7,1,Good UR,0.46,7523,16249,1,0,
7926,Short Term,740,10,Own Home,41609,Debt Consolidation,159.5,1914,0.05,Excellent DTI,13.8,10,1,Excellent UR,0.26,5656,22094,1,0,
7926,Short Term,701,10,Home Mortgage,82732,Debt Consolidation,1006.57,12078.84,0.15,Good DTI,7.7,11,0,Very Bad UR,0.77,8562,11191,0,0,
7926,Short Term,722,10,Rent,66760,Debt Consolidation,1101.54,13218.48,0.2,Good DTI,24.1,11,0,Very Bad UR,0.92,13759,14956,0,0,
7927,Short Term,743,10,Rent,94136,other,964.89,11578.68,0.12,Good DTI,11.3,7,0,,,0,0,0,0,
7927,Short Term,,4,Home Mortgage,,Debt Consolidation,706.59,8479.08,,Very Bad DTI,30.5,8,0,Good UR,0.44,3677,8320,0,0,
7928,Short Term,743,1,Home Mortgage,106722,Home Improvements,1476.32,17715.84,0.17,Good DTI,20.9,15,0,Good UR,0.31,6564,21174,0,0,
7928,Short Term,729,7,Rent,31222,Debt Consolidation,457.93,5495.16,0.18,Good DTI,16,9,0,Good UR,0.39,6091,15619,0,0,
7928,Short Term,725,4,Rent,24775,Debt Consolidation,606.99,7283.88,0.29,Bad DTI,11.5,6,0,Very Bad UR,0.74,8996,12092,0,0,
7929,Short Term,706,10,Home Mortgage,109021,other,771.32,9255.84,0.08,Excellent DTI,21,17,1,Good UR,0.39,7339,18722,1,0,
7930,Short Term,,10,Rent,,Debt Consolidation,792.96,9515.52,,Very Bad DTI,22,10,0,Bad UR,0.64,7996,12592,0,0,
7930,Short Term,,1,Home Mortgage,,Debt Consolidation,460.54,5526.48,,Very Bad DTI,11.4,6,0,Bad UR,0.64,11484,17945,0,0,
7930,Short Term,723,3,Own Home,69391,Other,555.13,6661.56,0.1,Excellent DTI,15,14,0,Excellent UR,0.14,2904,20163,0,0,
7930,Short Term,715,1,Home Mortgage,24783,Debt Consolidation,460.54,5526.48,0.22,Bad DTI,11.4,6,0,Bad UR,0.64,11484,17945,0,0,
7930,Short Term,745,1,Rent,47582,Debt Consolidation,586.85,7042.2,0.15,Good DTI,9.8,22,0,Bad UR,0.51,5589,11001,0,0,
7933,Short Term,,7,Own Home,,Debt Consolidation,464.94,5579.28,,Very Bad DTI,15.5,6,0,Very Bad UR,0.79,7379,9317,0,0,
7933,Short Term,746,,Home Mortgage,43630,Debt Consolidation,262.87,3154.44,0.07,Excellent DTI,13.5,9,1,Good UR,0.33,8896,27287,0,1,
7933,Short Term,,7,Rent,,Debt Consolidation,291.55,3498.6,,Very Bad DTI,11.4,6,0,Very Bad UR,0.7,11226,15969,0,0,
7933,Short Term,740,1,Rent,55407,Debt Consolidation,771.08,9252.96,0.17,Good DTI,22.2,7,1,Bad UR,0.53,6105,11584,1,0,
7934,Short Term,,7,Rent,,Debt Consolidation,376.03,4512.36,,Very Bad DTI,9.9,9,0,Very Bad UR,0.81,6214,7662,0,0,
7934,Short Term,745,3,Rent,34713,Debt Consolidation,407.88,4894.56,0.14,Good DTI,14,6,0,Bad UR,0.7,17535,25086,0,0,
7934,Short Term,729,10,Home Mortgage,48593,Debt Consolidation,822.04,9864.48,0.2,Good DTI,10.6,10,1,Excellent UR,0.04,696,16575,1,0,
7934,Short Term,732,,Rent,23436,Debt Consolidation,367.16,4405.92,0.19,Good DTI,21.5,13,0,Good UR,0.45,10690,23861,0,0,
7934,Short Term,725,4,Rent,26619,Debt Consolidation,388.19,4658.28,0.17,Good DTI,14.5,5,0,Bad UR,0.67,4130,6146,0,0,
7934,Short Term,,2,Rent,,Debt Consolidation,374.03,4488.36,,Very Bad DTI,16.7,14,0,Excellent UR,0.26,5666,21626,0,0,
7934,Long Term,710,5,Rent,48499,Debt Consolidation,707.28,8487.36,0.18,Good DTI,20.5,10,0,Good UR,0.48,7323,15163,0,0,
7934,Short Term,,10,Home Mortgage,,other,879.31,10551.72,,Very Bad DTI,27.7,11,0,Very Bad UR,0.7,31704,45291,0,0,
7935,Short Term,701,10,Home Mortgage,56042,other,1242.28,14907.36,0.27,Bad DTI,16.5,9,0,Very Bad UR,0.76,7089,9328,0,0,
7935,Short Term,745,10,Rent,74393,Debt Consolidation,344.07,4128.84,0.06,Excellent DTI,15,8,1,Good UR,0.32,3103,9635,1,0,
7935,Long Term,669,10,Home Mortgage,69433,Debt Consolidation,140.6,1687.2,0.02,Excellent DTI,21.1,8,0,Very Bad UR,0.9,4384,4860,0,0,
7935,Short Term,,10,Rent,,Debt Consolidation,456.39,5476.68,,Very Bad DTI,21.5,5,0,Good UR,0.45,12389,27470,0,0,
7936,Short Term,685,6,Own Home,23808,Home Improvements,511.87,6142.44,0.26,Bad DTI,10.9,10,0,Good UR,0.47,5579,11795,0,0,
7936,Short Term,741,4,Home Mortgage,31744,Debt Consolidation,135.97,1631.64,0.05,Excellent DTI,16.4,9,1,Good UR,0.37,4010,10721,1,0,
7936,Short Term,701,2,Home Mortgage,81136,Business Loan,145.37,1744.44,0.02,Excellent DTI,16.2,4,1,Good UR,0.33,1742,5280,1,0,
7937,Short Term,734,6,Home Mortgage,49605,Debt Consolidation,1111.98,13343.76,0.27,Bad DTI,11.7,11,0,Good UR,0.49,11145,22607,0,0,
7938,Short Term,731,7,Home Mortgage,49615,Debt Consolidation,884.8,10617.6,0.21,Bad DTI,12.7,6,0,Bad UR,0.62,2843,4564,0,0,
7938,Short Term,742,10,Home Mortgage,54577,Debt Consolidation,266.97,3203.64,0.06,Excellent DTI,15.7,2,0,Bad UR,0.62,8146,13203,0,0,
7938,Short Term,743,1,Rent,24805,Debt Consolidation,162.68,1952.16,0.08,Excellent DTI,7.3,3,0,Excellent UR,0.11,137,1292,0,0,
7938,Short Term,750,8,Rent,72034,Debt Consolidation,966.45,11597.4,0.16,Good DTI,19.3,19,0,Excellent UR,0.12,9785,82228,0,0,
7938,Short Term,738,10,Home Mortgage,79384,Debt Consolidation,434.63,5215.56,0.07,Excellent DTI,14,10,0,Very Bad UR,0.94,11136,11808,0,0,
7939,Short Term,,7,Rent,,other,234.21,2810.52,,Very Bad DTI,6.5,5,0,Bad UR,0.69,3933,5659,0,0,
7940,Short Term,729,,Rent,29775,Other,24.81,297.72,0.01,Excellent DTI,13.5,2,0,Bad UR,0.54,161,298,0,0,
7940,Short Term,,10,Home Mortgage,,Debt Consolidation,2128.91,25546.92,,Very Bad DTI,15.7,17,0,Very Bad UR,0.74,10636,14392,0,0,
7940,Short Term,739,1,Rent,28783,Debt Consolidation,319.01,3828.12,0.13,Good DTI,6.7,6,0,Bad UR,0.55,8556,15671,0,0,
7940,Short Term,736,10,Home Mortgage,99250,Debt Consolidation,733.63,8803.56,0.09,Excellent DTI,24.4,7,1,Good UR,0.45,1252,2781,1,0,
7940,Short Term,703,2,Rent,40076,Debt Consolidation,420.8,5049.6,0.13,Good DTI,20,8,2,Bad UR,0.68,7377,10913,1,0,
7941,Short Term,749,9,Rent,66504,Debt Consolidation,778.1,9337.2,0.14,Good DTI,25,12,0,Excellent UR,0.19,18667,100902,0,0,
7941,Short Term,,10,Rent,,Debt Consolidation,536,6432,,Very Bad DTI,15.9,7,0,Good UR,0.49,5205,10710,0,0,
7941,Short Term,748,1,Home Mortgage,32756,Debt Consolidation,504.99,6059.88,0.19,Good DTI,10.3,7,0,Bad UR,0.64,9440,14681,0,0,
7942,Short Term,,4,Home Mortgage,,Other,1093.74,13124.88,,Very Bad DTI,25.1,12,0,Very Bad UR,0.85,11687,13749,0,0,
7943,Short Term,750,1,Rent,48156,Other,939.04,11268.48,0.23,Bad DTI,34.6,13,0,Excellent UR,0.1,2484,23660,0,0,
7943,Short Term,,2,Rent,,Debt Consolidation,1080.77,12969.24,,Very Bad DTI,11.4,14,0,Excellent UR,0.29,5664,19734,0,0,
7944,Short Term,732,2,Rent,45678,Debt Consolidation,677.55,8130.6,0.18,Good DTI,14.1,15,0,Excellent UR,0.16,3844,23875,0,0,
7944,Short Term,727,9,Rent,24058,Debt Consolidation,208.5,2502,0.1,Excellent DTI,13.3,7,0,Good UR,0.45,6020,13320,0,0,
7946,Short Term,701,3,Home Mortgage,59598,Medical Bills,536.38,6436.56,0.11,Excellent DTI,13.8,12,0,Good UR,0.43,7393,17273,0,0,
7947,Short Term,696,7,Rent,62584,other,1757.57,21090.84,0.34,Very Bad DTI,12.8,21,0,Excellent UR,0.29,5827,20375,0,0,
7947,Short Term,735,2,Rent,22729,Debt Consolidation,437.53,5250.36,0.23,Bad DTI,16,11,0,Excellent UR,0.1,2618,25170,0,0,
7948,Short Term,705,8,Own Home,34773,Debt Consolidation,678.06,8136.72,0.23,Bad DTI,7.8,10,0,Very Bad UR,0.85,8775,10335,0,0,
7948,Short Term,740,10,Home Mortgage,142552,Other,2263.01,27156.12,0.19,Good DTI,17,9,0,Very Bad UR,0.83,49521,59449,0,0,
7948,Short Term,716,7,Own Home,33779,Debt Consolidation,700.91,8410.92,0.25,Bad DTI,16.1,8,0,Very Bad UR,0.74,6788,9235,0,0,
7949,Short Term,746,10,Own Home,50630,Debt Consolidation,421.07,5052.84,0.1,Excellent DTI,14.5,18,0,Excellent UR,0.25,14235,56489,0,0,
7949,Short Term,,3,Own Home,,Debt Consolidation,714.07,8568.84,,Very Bad DTI,6.1,6,0,Bad UR,0.62,5498,8939,0,0,
7949,Short Term,733,10,Home Mortgage,65819,Debt Consolidation,1321.87,15862.44,0.24,Bad DTI,22.2,9,0,Very Bad UR,0.73,7961,10832,0,0,
7950,Short Term,,2,Rent,,Debt Consolidation,725.08,8700.96,,Very Bad DTI,10.7,18,0,Excellent UR,0.22,5760,26302,0,0,
